                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0596,                 2.7962,                 1.4104,                0.00405,                      1,                0.32755,                0.20744,                0.63815,                 3.0048,                 1.1038,                 0.0973,                 0.0003,                 0.0003
                      1,                 0.8273,                 2.6798,                 1.2759,                0.00405,                      1,                0.42025,                0.29617,                0.52725,                  2.928,                  1.011,               0.093686,             0.00068614,             0.00068614
                      2,                0.83551,                 2.6124,                 1.2923,                0.00405,                      1,                0.49533,                0.39587,                0.40559,                 2.8629,                0.92842,               0.090056,              0.0010564,              0.0010564
                      3,                0.69157,                 2.5673,                 1.2573,                0.00405,                      1,                0.70665,                0.62336,                 0.3885,                 2.8213,                0.92081,               0.086411,              0.0014109,              0.0014109
                      4,                0.66792,                 2.4931,                 1.1409,                0.00405,                      1,                0.89436,                0.78709,                0.36983,                 2.7776,                0.89949,                0.08275,              0.0017495,              0.0017495
                      5,                0.68269,                 2.1387,                 1.1235,                0.00405,                      1,                 0.9047,                0.77945,                0.39452,                 2.7426,                0.90891,               0.079072,              0.0020723,              0.0020723
                      6,                0.75665,                 2.0474,                 1.1879,                0.00405,                      1,                0.94481,                 0.8262,                0.42625,                  2.611,                0.89697,               0.075379,              0.0023792,              0.0023792
                      7,                0.60676,                 1.6699,                 1.0423,                0.17165,                      1,                0.95405,                0.84902,                0.43223,                 2.4549,                0.88938,                0.07167,              0.0026703,              0.0026703
                      8,                0.55118,                 1.4365,                 1.0672,                      1,                0.88678,                 0.9875,                 0.8385,                0.45469,                 2.3768,                0.90924,               0.067946,              0.0029456,              0.0029456
                      9,                0.76559,                 1.3975,                 1.2286,                      1,                0.75113,                 0.9875,                0.85647,                0.48814,                 2.2749,                0.96978,               0.064205,               0.003205,               0.003205
                     10,                0.70385,                 1.3319,                 1.1636,                0.93743,                0.88142,                0.96856,                0.87634,                0.46125,                 2.0451,                0.91379,               0.060449,              0.0034486,              0.0034486
                     11,                0.71538,                 1.2009,                 1.1685,                0.94249,                0.96489,                0.96611,                0.88381,                0.43883,                 1.9187,                0.87027,               0.056676,              0.0036763,              0.0036763
                     12,                0.67892,                 1.1182,                 1.0807,                      1,                0.96613,                  0.995,                  0.882,                0.55497,                 2.0106,                0.97015,               0.052888,              0.0038882,              0.0038882
                     13,                0.70112,                  1.451,                 1.1723,                0.96831,                0.94118,                0.99222,                0.83724,                 0.5568,                 2.0814,                0.99697,               0.049084,              0.0040843,              0.0040843
                     14,                0.63675,                 1.1128,                 1.1073,                0.94048,                0.93001,                0.98556,                 0.8688,                0.51421,                 1.9981,                0.96934,               0.045265,              0.0042645,              0.0042645
                     15,                0.52731,                  1.152,                 1.0353,                0.94048,                0.93001,                0.98556,                 0.8688,                0.51421,                 1.9981,                0.96934,               0.041429,              0.0044289,              0.0044289
                     16,                0.72017,                 1.0752,                 1.0933,                0.91172,                0.94118,                0.97915,                0.82496,                0.61765,                 1.8877,                 1.0336,               0.037577,              0.0045774,              0.0045774
                     17,                0.71185,                 1.2701,                 1.2044,                0.93367,                      1,                0.99222,                0.81665,                0.65407,                 1.7226,                 1.0965,                0.03371,              0.0047101,              0.0047101
