                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2984,                 3.0792,                 1.4884,                0.54986,                 0.1489,                0.21813,                0.11565,                 1.1293,                 10.756,                 1.1923,                0.07033,              0.0032967,              0.0032967
                      1,                 1.2284,                 2.2723,                 1.4427,                0.51157,                0.43511,                0.46064,                 0.2695,                 1.1452,                 7.0774,                 1.2914,               0.040308,              0.0066082,              0.0066082
                      2,                 1.2663,                 2.0337,                  1.461,                0.45252,                0.50249,                0.45678,                0.26251,                 1.2107,                 7.4647,                 1.2917,               0.010264,              0.0098976,              0.0098976
                      3,                 1.3224,                 2.0028,                 1.4992,                0.32674,                0.34407,                0.26665,                0.13137,                 1.4841,                 10.528,                 1.6128,               0.009901,               0.009901,               0.009901
                      4,                 1.3997,                  2.002,                  1.576,                 0.5095,                 0.5633,                0.51526,                0.28295,                 1.2533,                 5.4265,                 1.3371,               0.009901,               0.009901,               0.009901
                      5,                 1.3824,                 1.9372,                 1.5291,                0.55548,                0.48803,                0.50218,                0.31877,                 1.2422,                 3.2109,                 1.3997,               0.009868,               0.009868,               0.009868
                      6,                 1.3346,                 1.8185,                 1.5328,                0.49532,                0.49751,                0.43669,                0.25393,                  1.273,                  6.167,                 1.3972,               0.009835,               0.009835,               0.009835
                      7,                  1.325,                 1.7123,                 1.4689,                0.57374,                0.65174,                0.63729,                0.40674,                 1.1018,                 3.5136,                 1.2515,               0.009802,               0.009802,               0.009802
                      8,                 1.2838,                 1.6781,                 1.4714,                0.59226,                 0.5398,                0.57926,                 0.3331,                 1.2421,                 4.1967,                 1.3528,               0.009769,               0.009769,               0.009769
                      9,                 1.2406,                 1.6193,                 1.4307,                0.74399,                0.60697,                0.73069,                0.47967,                 1.1014,                 2.0518,                 1.2374,               0.009736,               0.009736,               0.009736
                     10,                 1.2551,                 1.5461,                 1.4312,                0.77778,                0.66915,                0.75821,                0.48934,                 1.0671,                 6.2961,                 1.2199,               0.009703,               0.009703,               0.009703
                     11,                 1.2344,                 1.4974,                 1.4631,                0.72047,                0.69886,                 0.7593,                0.47351,                  1.096,                 3.2419,                 1.2166,                0.00967,                0.00967,                0.00967
                     12,                 1.2536,                 1.5385,                 1.4411,                0.82497,                0.59796,                0.76978,                0.49915,                 1.0929,                 2.4317,                 1.2006,               0.009637,               0.009637,               0.009637
                     13,                 1.2206,                 1.5138,                 1.4286,                0.60613,                0.54726,                0.56261,                0.32287,                 1.2651,                 3.2929,                 1.4259,               0.009604,               0.009604,               0.009604
                     14,                 1.2334,                 1.4832,                 1.4134,                0.72071,                0.61443,                0.71044,                0.46569,                 1.0805,                 3.5263,                 1.2185,               0.009571,               0.009571,               0.009571
                     15,                 1.2207,                   1.41,                 1.4146,                0.80724,                0.68657,                0.80156,                0.53036,                 1.0653,                 1.7797,                 1.2313,               0.009538,               0.009538,               0.009538
                     16,                 1.1994,                 1.3829,                 1.3876,                0.80242,                0.77789,                0.84232,                0.57086,                0.96813,                 3.5807,                 1.1448,               0.009505,               0.009505,               0.009505
                     17,                 1.1402,                  1.301,                 1.3618,                0.81882,                0.76119,                0.86835,                0.59061,                0.97634,                 1.7677,                 1.1361,               0.009472,               0.009472,               0.009472
                     18,                 1.1368,                 1.3025,                 1.3515,                0.84097,                0.69721,                0.80449,                0.56084,                0.98513,                 1.9841,                 1.1684,               0.009439,               0.009439,               0.009439
                     19,                  1.151,                 1.2467,                 1.3559,                0.84367,                0.76617,                0.88481,                0.62231,                0.91135,                 1.5174,                 1.0957,               0.009406,               0.009406,               0.009406
                     20,                 1.1263,                 1.2339,                  1.349,                0.82678,                  0.801,                0.89366,                0.63982,                 0.8686,                 2.6476,                 1.0669,               0.009373,               0.009373,               0.009373
                     21,                 1.1159,                 1.1848,                 1.3279,                 0.7969,                0.79851,                0.88695,                0.61379,                0.96769,                 5.2857,                 1.0895,                0.00934,                0.00934,                0.00934
                     22,                 1.1055,                 1.2287,                 1.3048,                0.85419,                0.78692,                0.89123,                0.61656,                0.96313,                 2.3949,                 1.0959,               0.009307,               0.009307,               0.009307
                     23,                 1.0974,                 1.1966,                 1.3351,                0.87523,                0.78109,                0.89092,                0.62804,                0.97114,                 1.2143,                  1.122,               0.009274,               0.009274,               0.009274
                     24,                 1.1415,                 1.2066,                 1.3512,                0.85213,                0.82338,                0.89982,                0.63713,                0.89873,                 2.1135,                 1.0582,               0.009241,               0.009241,               0.009241
                     25,                 1.0649,                 1.1144,                 1.2961,                0.86501,                0.84328,                0.92208,                0.68362,                0.84442,                 1.1248,                 1.0413,               0.009208,               0.009208,               0.009208
                     26,                 1.0436,                 1.0724,                 1.2919,                0.90919,                0.87169,                0.95257,                0.69762,                0.85733,                 1.3871,                 1.0242,               0.009175,               0.009175,               0.009175
                     27,                 1.0038,                 1.0491,                 1.2551,                0.87454,                0.82836,                 0.9181,                0.67615,                0.83913,                   1.99,                  1.032,               0.009142,               0.009142,               0.009142
                     28,                 1.0742,                 1.1335,                 1.3025,                0.84433,                  0.823,                0.90138,                 0.6597,                0.86486,                 1.7683,                 1.0465,               0.009109,               0.009109,               0.009109
                     29,                 1.0628,                 1.0958,                 1.3211,                0.85904,                0.83085,                0.91197,                0.66339,                0.86008,                 1.5596,                 1.0497,               0.009076,               0.009076,               0.009076
                     30,                 1.0015,                 1.0642,                 1.2667,                 0.8759,                0.80766,                0.92176,                 0.6463,                0.92942,                  1.376,                 1.0833,               0.009043,               0.009043,               0.009043
                     31,                 1.0521,                 1.0789,                 1.2794,                0.85773,                 0.8408,                0.90693,                0.65411,                0.88241,                 1.5615,                 1.0654,                0.00901,                0.00901,                0.00901
                     32,                0.98104,                 1.0036,                 1.2483,                0.91717,                0.86567,                0.95356,                0.70314,                 0.8479,                 1.3035,                 1.0411,               0.008977,               0.008977,               0.008977
                     33,                 1.0023,                 1.0209,                 1.2499,                 0.8991,                0.88665,                0.95708,                0.71078,                0.81814,                 1.1542,                 1.0021,               0.008944,               0.008944,               0.008944
                     34,                0.98005,                0.96652,                 1.2351,                0.90058,                0.87562,                0.95109,                0.70014,                0.87857,                 1.1969,                 1.0656,               0.008911,               0.008911,               0.008911
                     35,                0.97939,                0.96359,                 1.2365,                0.86163,                0.93284,                0.94979,                0.71411,                0.84017,                 1.9272,                  1.024,               0.008878,               0.008878,               0.008878
                     36,                0.96495,                0.98078,                 1.2323,                0.92598,                0.90248,                0.96748,                0.73507,                0.79968,                0.99875,                 1.0099,               0.008845,               0.008845,               0.008845
                     37,                0.97419,                0.96765,                  1.233,                0.88827,                0.89055,                0.95482,                0.73378,                0.77023,                 1.0557,                0.99013,               0.008812,               0.008812,               0.008812
